src,sport,dst,dport,cwnd,bw,mrtt,pacing_gain,cwnd_gain,time,id
10.0.0.5,58419,10.1.0.11,51230,1090,73400000.0,0.080028,1,2,0.9370000000001255,1
10.0.0.5,58419,10.1.0.11,51230,1090,73400000.0,0.080028,1,2,0.9510000000000218,1
10.0.0.5,58419,10.1.0.11,51230,1090,73400000.0,0.080028,1,2,1.0019999999999527,1
10.0.0.5,58419,10.1.0.11,51230,1090,73400000.0,0.080028,1,2,1.0119999999999436,1
10.0.0.5,58419,10.1.0.11,51230,1090,73400000.0,0.080028,1,2,1.0219999999999345,1
10.0.0.5,58419,10.1.0.11,51230,1090,73400000.0,0.080028,1,2,1.0389999999999873,1
10.0.0.5,58419,10.1.0.11,51230,1090,73400000.0,0.080028,1,2,1.05600000000004,1
10.0.0.5,58419,10.1.0.11,51230,1090,73400000.0,0.080028,1,2,1.1020000000000891,1
10.0.0.5,58419,10.1.0.11,51230,1090,73400000.0,0.080028,1,2,1.1110000000001037,1
10.0.0.5,58419,10.1.0.11,51230,1090,73400000.0,0.080028,1,2,1.1179999999999382,1
10.0.0.5,58419,10.1.0.11,51230,1090,73400000.0,0.080028,1,2,1.1300000000001091,1
10.0.0.5,58419,10.1.0.11,51230,1090,73400000.0,0.080028,1,2,1.19600000000014,1
10.0.0.5,58419,10.1.0.11,51230,1090,73400000.0,0.080028,1,2,1.2100000000000364,1
10.0.0.5,58419,10.1.0.11,51230,1090,73400000.0,0.080028,1,2,1.219000000000051,1
10.0.0.5,58419,10.1.0.11,51230,1096,73400000.0,0.080028,1.25,2,1.2339999999999236,1
10.0.0.5,58419,10.1.0.11,51230,1096,73400000.0,0.080028,1.25,2,1.2519999999999527,1
10.0.0.5,58419,10.1.0.11,51230,1156,73400000.0,0.080028,1.25,2,1.3020000000001346,1
10.0.0.5,58419,10.1.0.11,51230,1156,73400000.0,0.080028,1.25,2,1.3170000000000073,1
10.0.0.5,58419,10.1.0.11,51230,1156,73400000.0,0.080028,1.25,2,1.3320000000001073,1
10.0.0.5,58419,10.1.0.11,51230,1156,73400000.0,0.080028,1.25,2,1.344000000000051,1
10.0.0.5,58419,10.1.0.11,51230,1156,73400000.0,0.080028,1.25,2,1.356999999999971,1
10.0.0.5,58419,10.1.0.11,51230,1156,73400000.0,0.080028,1.25,2,1.4020000000000437,1
10.0.0.5,58419,10.1.0.11,51230,1156,73400000.0,0.080028,1.25,2,1.4120000000000346,1
10.0.0.5,58419,10.1.0.11,51230,1156,73400000.0,0.080028,1.25,2,1.4239999999999782,1
10.0.0.5,58419,10.1.0.11,51230,1156,73400000.0,0.080028,1.25,2,1.4349999999999454,1
10.0.0.5,58419,10.1.0.11,51230,1156,73400000.0,0.080028,1.25,2,1.4429999999999836,1
10.0.0.5,58419,10.1.0.11,51230,1156,73400000.0,0.080028,1.25,2,1.4960000000000946,1
10.0.0.5,58419,10.1.0.11,51230,1156,73400000.0,0.080028,1.25,2,1.5140000000001237,1
10.0.0.5,58419,10.1.0.11,51230,1156,73400000.0,0.080028,1.25,2,1.5289999999999964,1
10.0.0.5,58419,10.1.0.11,51230,1156,73400000.0,0.080028,1.25,2,1.5420000000001437,1
10.0.0.5,58419,10.1.0.11,51230,1156,73400000.0,0.080028,1.25,2,1.5540000000000873,1
10.0.0.5,58419,10.1.0.11,51230,1156,73400000.0,0.080028,1.25,2,1.6040000000000418,1
10.0.0.5,58419,10.1.0.11,51230,1156,73400000.0,0.080028,1.25,2,1.615000000000009,1
10.0.0.5,58419,10.1.0.11,51230,1156,73400000.0,0.080028,1.25,2,1.625,1
10.0.0.5,58419,10.1.0.11,51230,1156,73400000.0,0.080028,1.25,2,1.634999999999991,1
10.0.0.5,58419,10.1.0.11,51230,1156,73400000.0,0.080028,1.25,2,1.6440000000000055,1
10.0.0.5,58419,10.1.0.11,51230,1156,73400000.0,0.080028,1.25,2,1.7029999999999745,1
10.0.0.5,58419,10.1.0.11,51230,1156,73400000.0,0.080028,1.25,2,1.7139999999999418,1
10.0.0.5,58419,10.1.0.11,51230,1156,73400000.0,0.080028,1.25,2,1.7229999999999563,1
10.0.0.5,58419,10.1.0.11,51230,1156,73400000.0,0.080028,1.25,2,1.7309999999999945,1
10.0.0.5,58419,10.1.0.11,51230,1156,73400000.0,0.080028,1.25,2,1.7419999999999618,1
10.0.0.5,58419,10.1.0.11,51230,1156,73400000.0,0.080028,1.25,2,1.7970000000000255,1
10.0.0.5,58419,10.1.0.11,51230,1156,73400000.0,0.080028,1.25,2,1.80600000000004,1
10.0.0.5,58419,10.1.0.11,51230,1156,73400000.0,0.080028,1.25,2,1.8179999999999836,1
10.0.0.5,58419,10.1.0.11,51230,1152,73100000.0,0.080028,1.25,2,1.8279999999999745,1
10.0.0.5,58419,10.1.0.11,51230,1152,73100000.0,0.080028,1.25,2,1.836999999999989,1
10.0.0.5,58419,10.1.0.11,51230,1152,73100000.0,0.080028,1.25,2,1.8489999999999327,1
10.0.0.5,58419,10.1.0.11,51230,1152,73100000.0,0.080028,1.25,2,1.900000000000091,1
10.0.0.5,58419,10.1.0.11,51230,1152,73100000.0,0.080028,1.25,2,1.9069999999999254,1
10.0.0.5,58419,10.1.0.11,51230,1152,73100000.0,0.080028,1.25,2,1.91599999999994,1
10.0.0.5,58419,10.1.0.11,51230,1152,73100000.0,0.080028,1.25,2,1.9230000000000018,1
10.0.0.5,58419,10.1.0.11,51230,1152,73100000.0,0.080028,1.25,2,1.9359999999999218,1
10.0.0.5,58419,10.1.0.11,51230,1152,73100000.0,0.080028,1.25,2,2.0,1
10.0.0.5,58419,10.1.0.11,51230,1152,73100000.0,0.080028,1.25,2,2.007000000000062,1
10.0.0.5,58419,10.1.0.11,51230,1152,73100000.0,0.080028,1.25,2,2.019999999999982,1
10.0.0.5,58419,10.1.0.11,51230,1152,73100000.0,0.080028,1.25,2,2.0319999999999254,1
10.0.0.5,58419,10.1.0.11,51230,1152,73100000.0,0.080028,1.25,2,2.0399999999999636,1
