src,sport,dst,dport,time,rate,id
10.0.0.2,46157,10.0.0.4,38340,0.6412372589111328,57.33456998824748,1
10.0.0.2,46157,10.0.0.4,38340,0.9884371757507324,87.43688787497578,1
10.0.0.2,46157,10.0.0.4,38340,1.3355772495269775,50.12603266725711,1
10.0.0.2,46157,10.0.0.4,38340,1.6853792667388916,48.056915473269136,1
10.0.0.2,46157,10.0.0.4,38340,2.032578229904175,47.18922116611289,1
10.0.0.2,46157,10.0.0.4,38340,2.3796892166137695,46.32152685895664,1
10.0.0.2,46157,10.0.0.4,38340,2.7269632816314697,48.056915473269136,1
10.0.0.2,46157,10.0.0.4,38340,3.074122190475464,47.58969546172346,1
10.0.0.2,46157,10.0.0.4,38340,3.421300172805786,47.78993260952875,1
10.0.0.2,46157,10.0.0.4,38340,3.768479347229004,47.52294974578837,1
10.0.0.2,46157,10.0.0.4,38340,4.116900205612183,48.056915473269136,1
10.0.0.2,46157,10.0.0.4,38340,4.464168310165405,47.78993260952875,1
10.0.0.2,46157,10.0.0.4,38340,4.811488389968872,47.72318689359365,1
10.0.0.2,46157,10.0.0.4,38340,5.158648252487183,47.45620402985327,1
10.0.0.2,46157,10.0.0.4,38340,5.507413387298584,48.056915473269136,1
10.0.0.2,46157,10.0.0.4,38340,5.85453724861145,47.05572973424269,1
10.0.0.2,46157,10.0.0.4,38340,6.201677322387695,47.58969546172346,1
10.0.0.2,46157,10.0.0.4,38340,6.549755334854126,48.056915473269136,1
10.0.0.2,46157,10.0.0.4,38340,6.899209260940552,47.58969546172346,1
10.0.0.2,46157,10.0.0.4,38340,7.248146295547485,48.056915473269136,1
10.0.0.2,46157,10.0.0.4,38340,7.596646308898926,47.32271259798308,1
10.0.0.2,46157,10.0.0.4,38340,7.944408178329468,47.58969546172346,1
10.0.0.2,46157,10.0.0.4,38340,8.291563272476196,47.18922116611289,1
10.0.0.2,46157,10.0.0.4,38340,8.638808250427246,48.056915473269136,1
10.0.0.2,46157,10.0.0.4,38340,8.987915277481079,48.056915473269136,1
10.0.0.2,46157,10.0.0.4,38340,9.335349321365356,46.9889840183076,1
10.0.0.2,46157,10.0.0.4,38340,9.684559345245361,48.056915473269136,1
10.0.0.2,46157,10.0.0.4,38340,10.031747341156006,47.52294974578837,1
10.0.0.2,46157,10.0.0.4,38340,10.379077196121216,46.9889840183076,1
10.0.0.2,46157,10.0.0.4,38340,10.729159355163574,48.056915473269136,1
10.0.0.2,46157,10.0.0.4,38340,11.076327323913574,47.58969546172346,1
10.0.0.2,46157,10.0.0.4,38340,11.42435622215271,48.056915473269136,1
10.0.0.2,46157,10.0.0.4,38340,11.773594379425049,48.056915473269136,1
10.0.0.2,46157,10.0.0.4,38340,12.120741367340088,47.52294974578837,1
10.0.0.2,46157,10.0.0.4,38340,12.469066381454468,48.056915473269136,1
10.0.0.2,46157,10.0.0.4,38340,12.81930136680603,46.52176400676193,1
10.0.0.2,46157,10.0.0.4,38340,13.169183254241943,47.72318689359365,1
10.0.0.2,46157,10.0.0.4,38340,13.516330242156982,47.99016975733404,1
10.0.0.2,46157,10.0.0.4,38340,13.86536717414856,47.58969546172346,1
10.0.0.2,46157,10.0.0.4,38340,14.212684154510498,46.25478114302154,1
10.0.0.2,46157,10.0.0.4,38340,14.559814214706421,47.45620402985327,1
10.0.0.2,46157,10.0.0.4,38340,14.906938314437866,47.92342404139894,1
10.0.0.2,46157,10.0.0.4,38340,15.256784200668335,48.056915473269136,1
10.0.0.2,46157,10.0.0.4,38340,15.605924367904663,46.9889840183076,1
10.0.0.2,46157,10.0.0.4,38340,15.953918218612671,48.056915473269136,1
10.0.0.2,46157,10.0.0.4,38340,16.303683280944824,48.056915473269136,1
10.0.0.2,46157,10.0.0.4,38340,16.6508891582489,47.85667832546385,1
10.0.0.2,46157,10.0.0.4,38340,16.99986720085144,48.056915473269136,1
10.0.0.2,46157,10.0.0.4,38340,17.34729528427124,46.58850972269702,1
10.0.0.2,46157,10.0.0.4,38340,17.69755220413208,48.056915473269136,1
10.0.0.2,46157,10.0.0.4,38340,18.046377182006836,48.056915473269136,1
10.0.0.2,46157,10.0.0.4,38340,18.394667387008667,48.056915473269136,1
10.0.0.2,46157,10.0.0.4,38340,18.74189019203186,47.99016975733404,1
10.0.0.2,46157,10.0.0.4,38340,19.09059429168701,47.45620402985327,1
